COUNTRY_CODE,station_count,avg_lat,avg_lon
TI,62,38.58783548387097,70.07416451612902
MX,5249,21.75180931606021,-100.96143667365216
SW,1640,60.740368048780496,15.95674256097561
GM,1090,50.69478027522936,10.074895963302753
TO,10,8.639700000000001,0.96
MB,2,14.678999999999998,-60.943
RS,1123,56.13920792520037,80.04106571682993
IV,21,6.584809523809524,-5.341714285714286
AR,101,-34.44099009900991,-63.05464356435644
CG,13,-5.098923076923077,18.307846153846153
NZ,14,-41.66235714285714,122.6105
SU,28,13.915285714285714,31.523321428571425
KS,52,36.96003653846154,127.6382173076923
NL,362,52.209119337016574,5.441606629834254
PO,26,38.90601923076923,-12.829115384615385
BC,20,-22.7039,24.28785
UZ,78,40.66837051282051,66.63673333333332
WA,283,-22.843204946996465,17.44408480565371
FI,835,63.152953413173655,25.586746107784425
UK,156,53.49691538461537,-2.0204153846153847
BR,5989,-15.482717098013019,-45.7186211888462
TH,54,14.462027777777779,101.06109444444446
MU,28,21.870178571428568,57.02674999999999
AU,13,47.5602,14.255184615384614
FR,111,45.85663603603603,3.466178378378378
AJ,66,40.20028333333334,47.60634393939394
PP,15,-5.47358,147.20968666666667
CT,17,5.946588235294119,19.91029411764706
GR,27,37.815814814814814,23.472940740740743
KG,73,41.63556301369863,74.41287671232875
SG,14,14.350142857142856,-15.568714285714284
MG,41,47.47217073170732,103.79102439024388
BF,72,24.848183333333335,-76.58948055555555
LQ,3,5.877766666666666,-162.0888666666667
SP,207,40.40573285024154,-1.7385115942028984
US,74236,38.61501828492911,-95.72203135406002
AM,53,40.3559245283019,44.795775471698114
IR,35,33.349599999999995,51.983371428571424
MI,20,-13.727699999999999,34.424949999999995
GL,59,68.90201694915254,-49.51273728813559
AY,51,-70.92419803921568,4.96178823529412
SF,1166,-29.41285248713551,26.112151801029157
FJ,25,-17.437231999999998,106.694452
UY,149,-32.14151006711409,-56.201523489932875
PA,24,-24.413875,-57.23795833333333
VE,107,8.704485981308414,-67.58979439252336
KE,10,0.16569999999999996,37.9775
LY,28,30.588182142857143,16.43739285714286
MO,20,33.70480500000001,-6.452065
MA,25,-18.35884,47.32888
MK,4,41.657525,21.462425
CA,9214,49.73892361623618,-95.5465331669199
MZ,19,-18.768421052631577,36.08384210526316
GH,18,7.050055555555556,-1.0850555555555554
CH,228,35.09766052631579,109.2712644736842
TU,58,39.172412068965514,34.76763103448276
AG,85,34.06414705882353,3.308689411764706
GQ,34,13.416761764705882,144.74243235294117
IT,103,44.33238932038835,11.825892233009709
LH,22,55.341477272727275,23.219540909090913
NG,18,14.288222222222224,7.775944444444445
SI,20,46.12224,14.702829999999997
ZA,19,-13.927157894736842,27.295631578947365
FM,38,7.222023684210526,151.19833684210525
CF,17,-1.9218823529411768,14.758470588235294
RO,30,45.713656666666665,25.257890000000007
VM,50,14.25643,107.17794800000001
BP,3,-9.061100000000001,159.09466666666665
SA,31,24.566687096774196,42.65699999999999
ET,15,9.256599999999999,39.293533333333336
LG,32,56.999865625000005,24.2462375
KN,10,39.66066,126.71694
MR,19,19.50368421052632,-12.70463157894737
IS,10,31.677750000000003,34.95854
TS,13,35.759438461538466,9.901538461538461
NC,2,-21.41685,165.35815
VQ,77,18.004349350649353,-64.80999090909091
AS,17072,-30.77371042642924,141.63187819821928
GG,103,42.14749611650485,43.38668640776698
GV,11,9.960454545454546,-11.166363636363636
